experiment,model,training_data,n_train,train_doc_mode,eval_doc_mode,MRR,R1,R5,R10,notes
exp_12_zero_shot,Linq-Embed-Mistral,none,0,n/a,fable_cot,0.3597,0.2511,0.4683,0.5783,instruction=generic
exp_12_zero_shot,Qwen3-Embedding-8B,none,0,n/a,summary_fable_cot,0.3625,0.2553,0.4838,0.5811,instruction=generic
exp_12_zero_shot,BGE-en-ICL,none,0,n/a,fable_direct,0.3212,0.2214,0.4316,0.5134,instruction=generic
ft_02,Linq-Embed-Mistral,MORABLES_CV,570,raw,raw,0.3177,0.2045,0.4371,0.5485,"LoRA r=64, 5-fold CV, trained on raw fables"
ft_02,Linq-Embed-Mistral,MORABLES_CV,570,raw,fable_plus_summary,0.416,0.2961,0.5571,0.6572,"LoRA r=64, 5-fold CV, trained on raw fables"
ft_03,Linq-Embed-Mistral,MORABLES_CV,570,fable_plus_summary,fable_plus_summary,0.4381,0.3186,0.5768,0.6587,"LoRA r=64, InfoNCE τ=0.05, moral-moral negatives, 5-fold CV"
ft_07,BGE-base-en-v1.5,STORAL_s500,500,STORAL_stories,raw,0.1273,0.0635,0.1777,0.2496,"STORAL s500 (length-matched [56-195w]), LoRA r=64, InfoNCE τ=0.05"
ft_07,BGE-base-en-v1.5,STORAL_s500,500,STORAL_stories,fable_plus_summary,0.255,0.1707,0.3456,0.433,"STORAL s500 (length-matched [56-195w]), LoRA r=64, InfoNCE τ=0.05"
ft_07,BGE-base-en-v1.5,STORAL_s1000,1000,STORAL_stories,raw,0.146,0.086,0.1876,0.2525,"STORAL s1000 (length-filtered [30-300w]), LoRA r=64, InfoNCE τ=0.05"
ft_07,BGE-base-en-v1.5,STORAL_s1000,1000,STORAL_stories,fable_plus_summary,0.2558,0.1664,0.354,0.4316,"STORAL s1000 (length-filtered [30-300w]), LoRA r=64, InfoNCE τ=0.05"
ft_07,BGE-base-en-v1.5,STORAL_sfull,1675,STORAL_stories,raw,0.149,0.0903,0.1946,0.2581,"STORAL sfull (all clean pairs), LoRA r=64, InfoNCE τ=0.05"
ft_07,BGE-base-en-v1.5,STORAL_sfull,1675,STORAL_stories,fable_plus_summary,0.2603,0.1721,0.3512,0.4175,"STORAL sfull (all clean pairs), LoRA r=64, InfoNCE τ=0.05"
ft_07,Linq-Embed-Mistral,STORAL_s500,500,STORAL_stories,raw,0.3566,0.2398,0.4894,0.5783,"STORAL s500 (length-matched [56-195w]), LoRA r=64, InfoNCE τ=0.05"
ft_07,Linq-Embed-Mistral,STORAL_s500,500,STORAL_stories,fable_plus_summary,0.4504,0.3315,0.5896,0.6784,"STORAL s500 (length-matched [56-195w]), LoRA r=64, InfoNCE τ=0.05"
ft_07,Linq-Embed-Mistral,STORAL_s1000,1000,STORAL_stories,raw,0.3068,0.1904,0.4386,0.5303,"STORAL s1000 (length-filtered [30-300w]), LoRA r=64, InfoNCE τ=0.05"
ft_07,Linq-Embed-Mistral,STORAL_s1000,1000,STORAL_stories,fable_plus_summary,0.4219,0.3032,0.5543,0.6474,"STORAL s1000 (length-filtered [30-300w]), LoRA r=64, InfoNCE τ=0.05"
ft_07,Linq-Embed-Mistral,STORAL_sfull,1675,STORAL_stories,raw,0.3281,0.22,0.4471,0.5331,"STORAL sfull (all clean pairs), LoRA r=64, InfoNCE τ=0.05"
ft_07,Linq-Embed-Mistral,STORAL_sfull,1675,STORAL_stories,fable_plus_summary,0.4329,0.3131,0.5712,0.6446,"STORAL sfull (all clean pairs), LoRA r=64, InfoNCE τ=0.05"
ft_07,Qwen3-Embedding-8B,STORAL_s500,500,STORAL_stories,raw,0.3143,0.2059,0.4245,0.5458,"STORAL s500 (length-matched [56-195w]), LoRA r=64, InfoNCE τ=0.05"
ft_07,Qwen3-Embedding-8B,STORAL_s500,500,STORAL_stories,fable_plus_summary,0.4254,0.3089,0.5599,0.6488,"STORAL s500 (length-matched [56-195w]), LoRA r=64, InfoNCE τ=0.05"
ft_07,Qwen3-Embedding-8B,STORAL_s1000,1000,STORAL_stories,raw,0.3292,0.2144,0.4584,0.5726,"STORAL s1000 (length-filtered [30-300w]), LoRA r=64, InfoNCE τ=0.05"
ft_07,Qwen3-Embedding-8B,STORAL_s1000,1000,STORAL_stories,fable_plus_summary,0.4302,0.3117,0.5585,0.6615,"STORAL s1000 (length-filtered [30-300w]), LoRA r=64, InfoNCE τ=0.05"
ft_07,Qwen3-Embedding-8B,STORAL_sfull,1675,STORAL_stories,raw,0.318,0.2045,0.4372,0.5458,"STORAL sfull (all clean pairs), LoRA r=64, InfoNCE τ=0.05"
ft_07,Qwen3-Embedding-8B,STORAL_sfull,1675,STORAL_stories,fable_plus_summary,0.4351,0.3159,0.5628,0.6883,"STORAL sfull (all clean pairs), LoRA r=64, InfoNCE τ=0.05"
