run_key,model,MRR,MAP,Mean Rank,Median Rank,R-Precision,Recall@1,Recall@5,Recall@10,Recall@50,encoding_time_s
contriever__plain,facebook/contriever,0.08370467218446943,0.08370467218446943,,,0.04090267983074753,0.04090267983074753,0.1227080394922426,0.16643159379407615,0.31875881523272215,15.23
tart__no_instr,orionweller/tart-dual-contriever-msmarco,0.08435042416014192,0.08435042416014192,,,0.0465444287729196,0.0465444287729196,0.10155148095909731,0.14809590973201692,0.31029619181946405,14.72
tart__specific,orionweller/tart-dual-contriever-msmarco,0.06734515623035014,0.06734515623035014,,,0.03244005641748942,0.03244005641748942,0.08744710860366714,0.1227080394922426,0.28067700987306066,16.15
instructor__no_instr,hkunlp/instructor-base,0.08765397952344986,0.08765397952344986,,,0.04090267983074753,0.04090267983074753,0.11988716502115655,0.1777150916784203,0.36671368124118475,8.88
instructor__general,hkunlp/instructor-base,0.08489565510649093,0.08489565510649093,,,0.04090267983074753,0.04090267983074753,0.11142454160789844,0.16784203102961917,0.36530324400564174,9.05
instructor__specific,hkunlp/instructor-base,0.07333965869227498,0.07333965869227498,,,0.036671368124118475,0.036671368124118475,0.08744710860366714,0.12834978843441466,0.306064880112835,9.46
bge-base__plain,BAAI/bge-base-en-v1.5,0.0690660081203713,0.0690660081203713,,,0.03385049365303244,0.03385049365303244,0.08744710860366714,0.12834978843441466,0.31170662905500707,6.64
e5-base__plain,intfloat/e5-base-v2,0.08618099595270381,0.08618099595270381,,,0.047954866008462625,0.047954866008462625,0.11001410437235543,0.14386459802538787,0.3314527503526093,6.4
multilingual-e5__plain,intfloat/multilingual-e5-large,0.09487593458283627,0.09487593458283627,,,0.056417489421720736,0.056417489421720736,0.12411847672778561,0.152327221438646,0.304654442877292,21.45
multilingual-e5-instruct__no_instr,intfloat/multilingual-e5-large-instruct,0.07922686003279861,0.07922686003279861,,,0.0380818053596615,0.0380818053596615,0.10578279266572638,0.153737658674189,0.30888575458392104,20.44
multilingual-e5-instruct__general,intfloat/multilingual-e5-large-instruct,0.08889777953140797,0.08889777953140797,,,0.04090267983074753,0.04090267983074753,0.1227080394922426,0.17066290550070523,0.33991537376586745,20.52
multilingual-e5-instruct__specific,intfloat/multilingual-e5-large-instruct,0.09378019214910224,0.09378019214910224,,,0.05077574047954866,0.05077574047954866,0.12693935119887165,0.17207334273624825,0.3300423131170663,19.6
bge-m3__plain,BAAI/bge-m3,0.08889422464167684,0.08889422464167684,,,0.047954866008462625,0.047954866008462625,0.10437235543018336,0.1692524682651622,0.3526093088857546,31.65
qwen3__no_instr,Qwen/Qwen3-Embedding-0.6B,0.09665262655129336,0.09665262655129336,,,0.0535966149506347,0.0535966149506347,0.12693935119887165,0.17066290550070523,0.3455571227080395,71.99
qwen3__general,Qwen/Qwen3-Embedding-0.6B,0.1034763725403812,0.1034763725403812,,,0.05500705218617771,0.05500705218617771,0.1368124118476728,0.18194640338504936,0.38645980253878703,76.15
qwen3__specific,Qwen/Qwen3-Embedding-0.6B,0.08852052234150186,0.08852052234150186,,,0.04936530324400564,0.04936530324400564,0.11001410437235543,0.14386459802538787,0.32016925246826516,72.71
